track_name,artist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Monster,Red Velvet - IRENE & SEULGI,0.631,0.748,4,-2.569,0,0.0488,0.212,0,0.537,0.351,115.665,audio_features,6c1QaQHdDhtFMfUkhueuXK,spotify:track:6c1QaQHdDhtFMfUkhueuXK,https://api.spotify.com/v1/tracks/6c1QaQHdDhtFMfUkhueuXK,https://api.spotify.com/v1/audio-analysis/6c1QaQHdDhtFMfUkhueuXK,178413,4
Miss Universe,Saint Ivory,0.742,0.267,9,-11.418,1,0.0515,0.304,0,0.116,0.543,129.996,audio_features,1pt3g9WXpO6spzFDNnnMiV,spotify:track:1pt3g9WXpO6spzFDNnnMiV,https://api.spotify.com/v1/tracks/1pt3g9WXpO6spzFDNnnMiV,https://api.spotify.com/v1/audio-analysis/1pt3g9WXpO6spzFDNnnMiV,144781,4
sex money feelings die,Lykke Li,0.789,0.534,8,-6.347,0,0.0709,0.323,3.42E-06,0.0645,0.631,134.055,audio_features,0g4fzRkbLeCDUCoe5iUOcf,spotify:track:0g4fzRkbLeCDUCoe5iUOcf,https://api.spotify.com/v1/tracks/0g4fzRkbLeCDUCoe5iUOcf,https://api.spotify.com/v1/audio-analysis/0g4fzRkbLeCDUCoe5iUOcf,139840,4
505,Arctic Monkeys,0.52,0.852,0,-5.866,1,0.0543,0.00237,5.79E-05,0.0733,0.234,140.267,audio_features,58ge6dfP91o9oXMzq3XkIS,spotify:track:58ge6dfP91o9oXMzq3XkIS,https://api.spotify.com/v1/tracks/58ge6dfP91o9oXMzq3XkIS,https://api.spotify.com/v1/audio-analysis/58ge6dfP91o9oXMzq3XkIS,253587,4
Tú,maye,0.732,0.555,5,-7.973,1,0.0326,0.627,0,0.112,0.73,114.982,audio_features,1jecO8NeYLsVWVptITz4c1,spotify:track:1jecO8NeYLsVWVptITz4c1,https://api.spotify.com/v1/tracks/1jecO8NeYLsVWVptITz4c1,https://api.spotify.com/v1/audio-analysis/1jecO8NeYLsVWVptITz4c1,206612,4
I Got You,Maddie Jay,0.614,0.411,4,-8.852,1,0.0301,0.757,0.0822,0.367,0.447,80.015,audio_features,6isQbogGYftxsNzL2I2I1i,spotify:track:6isQbogGYftxsNzL2I2I1i,https://api.spotify.com/v1/tracks/6isQbogGYftxsNzL2I2I1i,https://api.spotify.com/v1/audio-analysis/6isQbogGYftxsNzL2I2I1i,230375,4
Freak,Doja Cat,0.688,0.716,7,-5.702,1,0.0385,0.0969,0,0.0989,0.373,116.912,audio_features,3aA6xB0tOilDDX17fIJ0Bl,spotify:track:3aA6xB0tOilDDX17fIJ0Bl,https://api.spotify.com/v1/tracks/3aA6xB0tOilDDX17fIJ0Bl,https://api.spotify.com/v1/audio-analysis/3aA6xB0tOilDDX17fIJ0Bl,284480,3
Moody,maye,0.701,0.778,8,-6.008,0,0.0359,0.25,0,0.0836,0.882,107.009,audio_features,3fHxCZdMhWqYynQVMF4O3R,spotify:track:3fHxCZdMhWqYynQVMF4O3R,https://api.spotify.com/v1/tracks/3fHxCZdMhWqYynQVMF4O3R,https://api.spotify.com/v1/audio-analysis/3fHxCZdMhWqYynQVMF4O3R,198377,4
Loverboy,A-Wall,0.604,0.466,0,-10.093,1,0.0315,0.649,0.0334,0.093,0.499,120.045,audio_features,0qXP5fMhxGzxALOkXYUxfP,spotify:track:0qXP5fMhxGzxALOkXYUxfP,https://api.spotify.com/v1/tracks/0qXP5fMhxGzxALOkXYUxfP,https://api.spotify.com/v1/audio-analysis/0qXP5fMhxGzxALOkXYUxfP,224520,4
Cariño,The Marías,0.647,0.385,0,-13.717,0,0.0295,0.402,0.0569,0.117,0.66,113.982,audio_features,55DyBUkjebkcYhDGfEXitR,spotify:track:55DyBUkjebkcYhDGfEXitR,https://api.spotify.com/v1/tracks/55DyBUkjebkcYhDGfEXitR,https://api.spotify.com/v1/audio-analysis/55DyBUkjebkcYhDGfEXitR,258714,4
